VerbName,VerbAliasPrefix,VerbRegex,VerbType,VerbGroup,VerbDescription,IsActive
Dummy,,'Dummy%',,Dummy,,0
Activate,,'Activate%',,,,1
Aggregate,,'Aggregate%',,,,1
Append,,'Append%',DML,,,1
Apply,,'Apply%',,,,1
Approve,ap,'Approve%',,Lifecycle,Confirms or agrees to the status of a resource or process,1
Assert,as,'Assert%',,Lifecycle,Affirms the state of a resource,1
Assign,,'Assign%',,,,1
Backup,ba,'Backup%',,Data,Stores data by replicating it,1
Bind,,'Bind%',,,,1
Block,bl,'Block%',,Security,Restricts access to a resource,1
Bridge,,'Bridge%',,,,1
Build,bd,'Build%',,Lifecycle,Creates an artifact (usually a binary or document) out of some set of input files (usually source code or declarative documents),1
Certify,,'Certify%',,,,1
Check,,'Check%',,,,1
Checkpoint,ch,'Checkpoint%',,Data,Creates a snapshot of the current state of the data or of its configuration,1
Choose,,'Choose%',,,,1
Clean,,'Clean%',,,,1
Clear,cl,'Clear%',,Common,Removes all the resources from a container but does not delete the container,1
Close,cs,'Close%',,Common,"Changes the state of a resource to make it inaccessible, unavailable or unsusable",1
Compare,cr,'Compare%',,Data,Evaluates the data from one resource against the data from another resource,1
Complete,cmp,'Complete%',,Lifecycle,Concludes an operation,1
Compress,cm,'Compress%',,Data,Compacts the data of a resource,1
Confirm,cn,'Confirm%',,Lifecycle,Acknowledges or validates state,1
Connect,cc,'Connect%',,Communications,Creates a link between a source and a destination,1
Continue,,'Continue%',,,,1
Convert,cv,'Convert%',,Data,Changes the data from one representation to another.,1
Copy,cp,'Copy%',IOL,Common,Copies a resource to another name or to another container,1
Create,,'Create%',DDL,,,1
Deactivate,,'Deactivate%',,,,1
Debug,db,'Debug%',,Diagnostic,Examines a resource to diagnose operational problems,1
Decode,,'Decode%',,,,1
Decrypt,,'Decrypt%',,,,1
Delete,,'Delete%',DML,,,1
Deny,dn,'Deny%',,Lifecycle,Refuses objects,1
Deploy,dp,'Deploy%',,Lifecycle,Sends an application,1
Deprovision,,'Deprovision%',,,,1
Disable,d,'Disable%',,Lifecycle,Configures a resource to an unavailable or inactive state,1
Disconnect,dc,'Disconnect%',,Communications,Breaks the link between a source and a destination,1
Discover,,'Discover%',,,,1
Dismount,dm,'Dismount%',,Data,Detaches a named entity from a location,1
Edit,ed,'Edit%',,Data,Modifies existing data by adding or removing content,1
Enable,e,'Enable%',,Lifecycle,Configures a resource to an available or active state,1
Encode,,'Encode%',,,,1
Encrypt,,'Encrypt%',,,,1
Enter,et,'Enter%',,Common,Specifies an action that allows the user to move into a resource,1
Evict,,'Evict%',,,,1
Exit,ex,'Exit%',,Common,Sets the current environment or context to the most recently used context,1
Expand,en,'Expand%',,Data,Restores the data of a resource that has been compressed to its original state,1
Export,ep,'Export%',IOL,Data,Encapsulates the primary input into a persistent data store,1
Extract,,'Extract%',IOL,,,1
Failover,,'Failover%',,,,1
Find,fd,'Find%',,Common,"Looks for an object in a container that is unknown, implied, optional or specified",1
Format,f,'Format%',,Common,Arranges objects in a specified form or layout,1
Generate,,'Generate%',,,,1
Get,g,'Get%',,Common,Specifies an action that retrieves a resource,1
GoTo,,'GoTo%',,,,1
Grant,gr,'Grant%',,Security,Allows access to a resource,1
Group,gp,'Group%',,Data,Arranges or associates one or more resources,1
Hash,,'Hash%',,,,1
Heartbeat,,'Heartbeat%',,,,1
Hide,h,'Hide%',,Common,Makes a resource undetectable,1
Import,ip,'Import%',IOL,Data,Creates a resource from data that is stored in a persistent data store (such as a file) or in an interchange format,1
Index,,'Index%',,,,1
Initialize,in,'Initialize%',,Data,Prepares a resource for use and sets default state,1
Install,is,'Install%',,Lifecycle,Places a resource in a location and optionally initalizes,1
Invoke,i,'Invoke%',,Lifecycle,Performs an action such as running a command,1
Join,j,'Join%',,Common,Combines resources into one resource,1
Limit,l,'Limit%',,Data,Applies constraints to a resource,1
Load,,'Load%',,,,1
Lock,lk,'Lock%',,Common,Secures a resource,1
Measure,ms,'Measure%',,Diagnostic,Identifies resources that are consumed by a specified operation,1
Merge,mg,'Merge%',,Data,Creates a single resource from multiple resources,1
Mount,mt,'Mount%',,Data,Attaches a named entity to a location,1
Move,m,'Move%',,Common,Moves a resource from one location to another,1
New,n,'New%',,Common,Creates a resource,1
Offline,,'Offline%',,,,1
Online,,'Online%',,,,1
Open,op,'Open%',,Common,Changes the state of a resource to make it accessible,1
Optimize,om,'Optimize%',,Common,Increases the effectiveness of a resource,1
Options,,'Options%',,,,1
Out,o,'Out%',DQL,Data,Sends data out of the environment,1
Parse,,'Parse%',DTL,,Parses a piece of Code,1
Perform,,'Perform%',,,,1
Ping,pi,'Ping%',,Diagnostic,Use the Test verb,1
Play,,'Play%',,,,1
Pop,pop,'Pop%',,Common,Removes an item from the top of a stack,1
Post,,'Post%',,,,1
Protect,pt,'Protect%',,Security,Safeguards a resource from attack or loss,1
Publish,pb,'Publish%',,Data,Makes a resource available to others,1
Push,pu,'Push%',,Common,Adds an item to the top of a stack,1
Put,,'Put%',,,,1
Read,rd,'Read%',,Communications,Acquires information from a source,1
Receive,rc,'Receive%',,Communications,Accepts information sent from a source,1
Reconnect,,'Reconnect%',,,,1
Recover,,'Recover%',,,,1
Redo,re,'Redo%',,Common,Resets a resource to the state that was undone,1
Register,rg,'Register%',,Lifecycle,Creates an entry for a resource in a repository such as a database,1
Reject,,'Reject%',,,,1
Remove,r,'Remove%',,Common,Deletes a resource from a container,1
Rename,rn,'Rename%',,Common,Changes the name of a resource,1
Repair,rp,'Repair%',,Diagnostic,Restores a resource to a usable condition,1
Replicate,,'Replicate%',,,,1
Request,rq,'Request%',,Lifecycle,Asks for a resource or asks for permissions,1
Reseed,,'Reseed%',,,,1
Reset,rs,'Reset%',,Common,Sets a resource back to its original state,1
Resize,rz,'Resize%',,Common,Changes the size of a resource,1
Resolve,rv,'Resolve%',,Diagnostic,Maps a shorthand representation of a resource to a more complete representation,1
Restart,rt,'Restart%',,Lifecycle,Stops an operation and then starts it again,1
Restore,rr,'Restore%',,Data,Sets a resource to a predefined state,1
Resume,ru,'Resume%',,Lifecycle,Starts an operation that has been suspended,1
Resynchronize,,'Resynchronize%',,,,1
Retry,,'Retry%',,,,1
Revoke,rk,'Revoke%',,Security,Specifies an action that does not allow access to a resource,1
Save,sv,'Save%',,Data,Preserves data to avoid loss,1
Script,,'Script%',,,,1
Seal,,'Seal%',,,,1
Search,sr,'Search%',,Common,Creates a reference to a resource in a container,1
Seed,,'Seed%',,,,1
Seek,,'Seek%',,,,1
Select,sc,'Select%',,Common,Locates a resource in a container,1
Send,sd,'Send%',,Communications,Delivers information to a destination,1
Set,s,'Set%',,Common,Replaces data on an existing resource or creates a resource that contains some data,1
Setup,,'Setup%',,,,1
Show,sh,'Show%',,Common,Makes a resource visible to the user,1
Shutdown,,'Shutdown%',,,,1
Sign,,'Sign%',,,,1
Skip,sk,'Skip%',,Common,Bypasses one or more resources or points in a sequence,1
Split,sl,'Split%',,Common,Separates parts of a resource,1
Start,sa,'Start%',,Lifecycle,Initiates an operation,1
Step,st,'Step%',,Common,Moves to the next point or resource in a sequence,1
Stop,sp,'Stop%',,Lifecycle,Discontinues an activity,1
Submit,sb,'Submit%',,Lifecycle,Presents a resource for approval,1
